contrast,ori,lefttarget,righttarget,postcue,precue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix1.started,fix2.started,precue_2.started,precue_2.stopped,left_grating.started,right_grating.started,noise_left.started,noise_right.started,fix1.stopped,fix2.stopped,left_grating.stopped,right_grating.stopped,noise_left.stopped,noise_right.stopped,key_resp.started,postcue_2.started,fix1_2.started,fix2_2.started,key_resp.keys,key_resp.rt,key_resp_2.started,break_text_2.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
42.7,315,0,1,-1,-1,0,0,0,197,194.91611919971183,194.91611919971183,195.39623759966344,195.4629913996905,195.5366921997629,195.5366921997629,195.5366921997629,195.5366921997629,195.5627047996968,195.5627047996968,195.5627047996968,195.5627047996968,195.5627047996968,195.5627047996968,195.57939359964803,195.57939359964803,195.57939359964803,195.57939359964803,num_3,3.0026124003343284,198.59941659960896,198.59941659960896,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
25.5,45,1,0,-1,-1,0,1,1,166,198.59941659960896,198.59941659960896,199.0998335997574,199.16656709974632,199.2168541997671,199.2168541997671,199.2168541997671,199.2168541997671,199.26672729989514,199.26672729989514,199.26672729989514,199.26672729989514,199.26672729989514,199.26672729989514,199.26672729989514,199.26672729989514,199.26672729989514,199.26672729989514,num_3,1.6281893006525934,200.91844539996237,200.91844539996237,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
15.7,315,0,0,-1,0,0,2,2,10,200.91844539996237,200.91844539996237,201.4187144995667,201.48526009963825,201.5358455996029,201.5358455996029,201.5358455996029,201.5358455996029,201.58569529978558,201.58569529978558,201.58569529978558,201.58569529978558,201.58569529978558,201.58569529978558,201.58569529978558,201.58569529978558,201.58569529978558,201.58569529978558,num_3,1.6213147002272308,203.23732329998165,203.23732329998165,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
22.7,45,0,1,-1,1,0,3,3,327,203.23732329998165,203.23732329998165,203.73790670000017,203.80452259955928,203.85488949995488,203.85488949995488,203.85488949995488,203.85488949995488,203.90467179985717,203.90467179985717,203.90467179985717,203.90467179985717,203.90467179985717,203.90467179985717,203.90467179985717,203.90467179985717,203.90467179985717,203.90467179985717,num_3,1.9504055003635585,205.87314369995147,205.87314369995147,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
12.1,45,1,0,-1,0,0,4,4,18,205.87314369995147,205.87314369995147,206.37377509986982,206.44036379968747,206.49079799978063,206.49079799978063,206.49079799978063,206.49079799978063,206.54066889965907,206.54066889965907,206.54066889965907,206.54066889965907,206.54066889965907,206.54066889965907,206.54066889965907,206.54066889965907,206.54066889965907,206.54066889965907,num_1,1.2740112002938986,207.84191479999572,207.84191479999572,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
12.1,45,1,1,1,1,0,5,5,414,207.84191479999572,207.84191479999572,208.34231489989907,208.40900449967012,208.45946539985016,208.45946539985016,208.45946539985016,208.45946539985016,208.50932039972395,208.50932039972395,208.50932039972395,208.50932039972395,208.50932039972395,208.50932039972395,208.50932039972395,208.50932039972395,208.50932039972395,208.50932039972395,num_3,5.680753500200808,214.21512279985473,214.21512279985473,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
19.6,315,1,1,-1,-1,0,6,6,209,214.21512279985473,214.21512279985473,214.71546659991145,214.78230779990554,214.83258689986542,214.83258689986542,214.83258689986542,214.83258689986542,214.88236199971288,214.88236199971288,214.88236199971288,214.88236199971288,214.88236199971288,214.88236199971288,214.88236199971288,214.88236199971288,214.88236199971288,214.88236199971288,num_3,2.1795273004099727,217.0842716996558,217.0842716996558,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
42.7,45,0,0,1,1,0,7,7,368,217.0842716996558,217.0842716996558,217.58498219959438,217.6517058997415,217.70203059958294,217.70203059958294,217.70203059958294,217.70203059958294,217.75176119990647,217.75176119990647,217.75176119990647,217.75176119990647,217.75176119990647,217.75176119990647,217.75176119990647,217.75176119990647,217.75176119990647,217.75176119990647,num_3,2.2868862003087997,220.07082619983703,220.07082619983703,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
35.3,45,1,0,-1,0,0,8,8,24,220.07082619983703,220.07082619983703,220.5713226995431,220.63803479960188,220.68818029994145,220.68818029994145,220.68818029994145,220.68818029994145,220.73820779984817,220.73820779984817,220.73820779984817,220.73820779984817,220.73820779984817,220.73820779984817,220.73820779984817,220.73820779984817,220.73820779984817,220.73820779984817,num_1,2.1489438004791737,222.906964099966,222.906964099966,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
22.7,315,1,1,-1,1,0,9,9,354,222.906964099966,222.906964099966,223.40759389987215,223.47425049962476,223.52439789986238,223.52439789986238,223.52439789986238,223.52439789986238,223.5743288998492,223.5743288998492,223.5743288998492,223.5743288998492,223.5743288998492,223.5743288998492,223.5743288998492,223.5743288998492,223.5743288998492,223.5743288998492,num_3,3.256552700418979,226.86071989964694,226.86071989964694,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
39.2,45,1,0,1,0,0,10,10,97,226.86071989964694,226.86071989964694,227.36141909984872,227.42817809991539,227.47841649968177,227.47841649968177,227.47841649968177,227.47841649968177,227.52830749982968,227.52830749982968,227.52830749982968,227.52830749982968,227.52830749982968,227.52830749982968,227.52830749982968,227.52830749982968,227.52830749982968,227.52830749982968,num_3,1.454215300269425,229.01286869961768,229.01286869961768,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
25.5,315,1,0,-1,0,0,11,11,31,229.01286869961768,229.01286869961768,229.5135654998012,229.58026589965448,229.63058509957045,229.63058509957045,229.63058509957045,229.63058509957045,229.6803125999868,229.6803125999868,229.6803125999868,229.6803125999868,229.6803125999868,229.6803125999868,229.6803125999868,229.6803125999868,229.6803125999868,229.6803125999868,num_1,1.094074800144881,230.79794159997255,230.79794159997255,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
19.6,45,0,1,-1,1,0,12,12,326,230.79794159997255,230.79794159997255,231.29848819971085,231.36538679990917,231.41583019960672,231.41583019960672,231.41583019960672,231.41583019960672,231.4656383995898,231.4656383995898,231.4656383995898,231.4656383995898,231.4656383995898,231.4656383995898,231.4656383995898,231.4656383995898,231.4656383995898,231.4656383995898,num_3,1.3169623999856412,232.80011649988592,232.80011649988592,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
35.3,315,0,0,-1,0,0,13,13,15,232.80011649988592,232.80011649988592,233.3006778997369,233.3674158998765,233.41749209957197,233.41749209957197,233.41749209957197,233.41749209957197,233.46740339975804,233.46740339975804,233.46740339975804,233.46740339975804,233.46740339975804,233.46740339975804,233.46740339975804,233.46740339975804,233.46740339975804,233.46740339975804,num_3,1.8035181006416678,235.3028785996139,235.3028785996139,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
39.2,45,0,0,-1,-1,0,14,14,151,235.3028785996139,235.3028785996139,235.80325479991734,235.8699027998373,235.92019109986722,235.92019109986722,235.92019109986722,235.92019109986722,235.96996629983187,235.96996629983187,235.96996629983187,235.96996629983187,235.96996629983187,235.96996629983187,235.96996629983187,235.96996629983187,235.96996629983187,235.96996629983187,num_1,1.7245655003935099,237.72151829954237,237.72151829954237,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
39.2,45,0,1,1,0,0,15,15,115,237.72151829954237,237.72151829954237,238.22232199972495,238.28897799970582,238.33956059999764,238.33956059999764,238.33956059999764,238.33956059999764,238.3893884997815,238.3893884997815,238.3893884997815,238.3893884997815,238.3893884997815,238.3893884997815,238.3893884997815,238.3893884997815,238.3893884997815,238.3893884997815,num_1,1.1455956003628671,239.55673639988527,239.55673639988527,None,,4,001,2025-12-16_17h54.10.764,2025C_exp1_detect,2022.2.4,59.94312597561844,
